;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
20096;19992;          Depósitos;Depósitos;E07.28.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20196;20096;               Gobierno central;Gobierno central;E07.28.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
20223;20096;               Gobiernos estatales y locales;Gobiernos estatales y locales;E07.28.01.05.00.00.00.00.00.M.CRC                                     ;Mensual
20250;20096;               Hogares e ISFLSH;Hogares e ISFLSH;E07.28.01.08.00.00.00.00.00.M.CRC                                     ;Mensual
20329;20096;               No residentes;No residentes;E07.28.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20353;20096;               Otras sociedades de depósito;Otras sociedades de depósito;E07.28.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20369;20096;               Otras sociedades financieras;Otras sociedades financieras;E07.28.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20389;20096;               Otras sociedades no financieras;Otras sociedades no financieras;E07.28.01.07.00.00.00.00.00.M.CRC                                     ;Mensual
20636;20096;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.28.01.06.00.00.00.00.00.M.CRC                                     ;Mensual
20451;19992;          Otros pasivos;Otros pasivos;E07.28.04.00.00.00.00.00.00.M.CRC                                     ;Mensual
20546;19992;          Préstamos;Préstamos;E07.28.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20009;20546;               Banco Central;Banco Central;E07.28.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20330;20546;               No residentes;No residentes;E07.28.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20354;20546;               Otras sociedades de depósito;Otras sociedades de depósito;E07.28.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20370;20546;               Otras sociedades financieras;Otras sociedades financieras;E07.28.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20498;20546;               Otros sectores;Otros sectores;E07.28.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20665;19992;          Total Pasivos;Total Pasivos;E07.28.05.00.00.00.00.00.00.M.CRC                                     ;Mensual
20678;19992;          Valores;Valores;E07.28.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
19993;;     Balance sectorial de las otras sociedades de depósito: instr;Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (pasi;E07.27.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
20095;19993;          Depósitos;Depósitos;E07.27.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20195;20095;               Gobierno central;Gobierno central;E07.27.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
20222;20095;               Gobiernos estatales y locales;Gobiernos estatales y locales;E07.27.01.05.00.00.00.00.00.M.CRC                                     ;Mensual
20249;20095;               Hogares e ISFLSH;Hogares e ISFLSH;E07.27.01.08.00.00.00.00.00.M.CRC                                     ;Mensual
20327;20095;               No residentes;No residentes;E07.27.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20351;20095;               Otras sociedades de depósito;Otras sociedades de depósito;E07.27.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20367;20095;               Otras sociedades financieras;Otras sociedades financieras;E07.27.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20388;20095;               Otras sociedades no financieras;Otras sociedades no financieras;E07.27.01.07.00.00.00.00.00.M.CRC                                     ;Mensual
20635;20095;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.27.01.06.00.00.00.00.00.M.CRC                                     ;Mensual
20450;19993;          Otros pasivos;Otros pasivos;E07.27.04.00.00.00.00.00.00.M.CRC                                     ;Mensual
20545;19993;          Préstamos;Préstamos;E07.27.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20008;20545;               Banco Central;Banco Central;E07.27.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20328;20545;               No residentes;No residentes;E07.27.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20352;20545;               Otras sociedades de depósito;Otras sociedades de depósito;E07.27.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20368;20545;               Otras sociedades financieras;Otras sociedades financieras;E07.27.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20497;20545;               Otros sectores;Otros sectores;E07.27.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20664;19993;          Total pasivos;Total pasivos;E07.27.05.00.00.00.00.00.00.M.CRC                                     ;Mensual
20677;19993;          Valores;Valores;E07.27.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
19994;;     Balance sectorial de las otras sociedades de depósito: instr;Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (pasi;E07.26.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
20094;19994;          Depósitos;Depósitos;E07.26.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20194;20094;               Gobierno central;Gobierno central;E07.26.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
20221;20094;               Gobiernos estatales y locales;Gobiernos estatales y locales;E07.26.01.05.00.00.00.00.00.M.CRC                                     ;Mensual
20248;20094;               Hogares e ISFLSH;Hogares e ISFLSH;E07.26.01.08.00.00.00.00.00.M.CRC                                     ;Mensual
20325;20094;               No residentes;No residentes;E07.26.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20349;20094;               Otras sociedades de depósito;Otras sociedades de depósito;E07.26.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20365;20094;               Otras sociedades financieras;Otras sociedades financieras;E07.26.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20387;20094;               Otras sociedades no financieras;Otras sociedades no financieras;E07.26.01.07.00.00.00.00.00.M.CRC                                     ;Mensual
20634;20094;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.26.01.06.00.00.00.00.00.M.CRC                                     ;Mensual
20487;19994;          Otros pasivos y capital;Otros pasivos y capital;E07.26.04.00.00.00.00.00.00.M.CRC                                     ;Mensual
20544;19994;          Préstamos;Préstamos;E07.26.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20007;20544;               Banco Central;Banco Central;E07.26.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20326;20544;               No residentes;No residentes;E07.26.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20350;20544;               Otras sociedades de depósito;Otras sociedades de depósito;E07.26.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20366;20544;               Otras sociedades financieras;Otras sociedades financieras;E07.26.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20496;20544;               Otros sectores;Otros sectores;E07.26.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20666;19994;          Total pasivos y capital;Total pasivos y capital;E07.26.05.00.00.00.00.00.00.M.CRC                                     ;Mensual
20676;19994;          Valores;Valores;E07.26.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
19995;;     Balance sectorial de las otras sociedades de depósito: resum;Balance sectorial de las otras sociedades de depósito: resumen por instrumentos;E07.22.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
19947;19995;          Activos;Activos;E07.22.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
19881;19947;               Acciones y otras participaciones de capital;Acciones y otras participaciones de capital;E07.22.01.05.00.00.00.00.00.M.CRC                                     ;Mensual
19981;19947;               Activos no financieros;Activos no financieros;E07.22.01.07.00.00.00.00.00.M.CRC                                     ;Mensual
20017;19947;               Billetes y moneda;Billetes y moneda;E07.22.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20092;19947;               Depósitos;Depósitos;E07.22.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20435;19947;               Otros activos financieros;Otros activos financieros;E07.22.01.06.00.00.00.00.00.M.CRC                                     ;Mensual
20539;19947;               Préstamos;Préstamos;E07.22.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
20697;19947;               Valores distintos de acciones (tenencia);Valores distintos de acciones (tenencia);E07.22.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
21280;19947;               Riqueza Total;Riqueza Total;E07.22.01.08.00.00.00.00.00.M.CRC                                     ;Mensual
21282;21280;                    Riqueza OSD privada;Riqueza OSD privada;E07.22.01.08.02.00.00.00.00.M.CRC                                     ;Mensual
20533;19995;          Pasivos y capital;Pasivos y capital;E07.22.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
19882;20533;               Acciones y otras participaciones de capital;Acciones y otras participaciones de capital;E07.22.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20093;20533;               Depósitos;Depósitos;E07.22.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20155;20093;                    Excluidos de dinero en sentido amplio;Excluidos de dinero en sentido amplio;E07.22.02.01.02.00.00.00.00.M.CRC                                     ;Mensual
20256;20093;                    Incluidos en dinero en sentido amplio;Incluidos en dinero en sentido amplio;E07.22.02.01.01.00.00.00.00.M.CRC                                     ;Mensual
20449;20533;               Otros pasivos;Otros pasivos;E07.22.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20540;20533;               Préstamos;Préstamos;E07.22.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20686;20533;               Valores distintos de acciones;Valores distintos de acciones;E07.22.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20012;;     Base monetaria;Base monetaria;E07.31.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
20014;20012;          Base monetaria amplia;Base monetaria amplia;E07.31.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20015;20014;               Base monetaria restringida;Base monetaria restringida;E07.31.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20054;20015;                    Billetes y monedas en circulación;Billetes y monedas en circulación;E07.31.01.01.01.00.00.00.00.M.CRC                                     ;Mensual
20528;20015;                    Pasivos frente a otras sociedades de depósito de encaje lega;Pasivos frente a otras sociedades de depósito de encaje legal (MN);E07.31.01.01.02.00.00.00.00.M.CRC                                     ;Mensual
20136;20528;                         Depósitos transferibles;Depósitos transferibles;E07.31.01.01.02.01.00.00.00.M.CRC                                     ;Mensual
20679;20528;                         Valores;Valores;E07.31.01.01.02.02.00.00.00.M.CRC                                     ;Mensual
20144;20014;               Depósitos y valores otros sectores;Depósitos y valores otros sectores;E07.31.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
19870;20144;                    (ME);(ME);E07.31.01.04.02.00.00.00.00.M.CRC                                     ;Mensual
19873;20144;                    (MN);(MN);E07.31.01.04.01.00.00.00.00.M.CRC                                     ;Mensual
20486;20014;               Otros pasivos frente a otras sociedades de depósito a corto;Otros pasivos frente a otras sociedades de depósito a corto plazo;E07.31.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20441;20486;                    Otros depósitos;Otros depósitos;E07.31.01.03.01.00.00.00.00.M.CRC                                     ;Mensual
19868;20441;                         (ME);(ME);E07.31.01.03.01.02.00.00.00.M.CRC                                     ;Mensual
19871;20441;                         (MN);(MN);E07.31.01.03.01.01.00.00.00.M.CRC                                     ;Mensual
20503;20486;                    Otros valores;Otros valores;E07.31.01.03.02.00.00.00.00.M.CRC                                     ;Mensual
19869;20503;                         (ME);(ME);E07.31.01.03.02.02.00.00.00.M.CRC                                     ;Mensual
19872;20503;                         (MN);(MN);E07.31.01.03.02.01.00.00.00.M.CRC                                     ;Mensual
20527;20014;               Pasivos frente a otras sociedades de depósito de encaje lega;Pasivos frente a otras sociedades de depósito de encaje legal (ME);E07.31.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20137;20527;                    Depósitos transferibles;Depósitos transferibles;E07.31.01.02.01.00.00.00.00.M.CRC                                     ;Mensual
20440;20527;                    Otros depósitos;Otros depósitos;E07.31.01.02.02.00.00.00.00.M.CRC                                     ;Mensual
20680;20527;                    Valores;Valores;E07.31.01.02.03.00.00.00.00.M.CRC                                     ;Mensual
20084;;     Crédito al sector público no financiero de las otras socieda;Crédito al sector público no financiero de las otras sociedades de depósito;E07.37.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
19953;20084;          Activos;Activos;E07.37.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20405;19953;               Otros Activos;Otros Activos;E07.37.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20552;19953;               Préstamos;Préstamos;E07.37.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20203;20552;                    Gobierno Central;Gobierno Central;E07.37.01.02.01.00.00.00.00.M.CRC                                     ;Mensual
20235;20552;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.37.01.02.02.00.00.00.00.M.CRC                                     ;Mensual
20650;20552;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.37.01.02.03.00.00.00.00.M.CRC                                     ;Mensual
20695;19953;               Valores Distintos de Acciones;Valores Distintos de Acciones;E07.37.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20202;20695;                    Gobierno Central;Gobierno Central;E07.37.01.01.01.00.00.00.00.M.CRC                                     ;Mensual
20234;20695;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.37.01.01.02.00.00.00.00.M.CRC                                     ;Mensual
20649;20695;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.37.01.01.03.00.00.00.00.M.CRC                                     ;Mensual
20087;20084;          Crédito neto;Crédito neto;E07.37.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
20518;20084;          Pasivos;Pasivos;E07.37.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20141;20518;               Depósitos Transferibles y Otros;Depósitos Transferibles y Otros;E07.37.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20204;20141;                    Gobierno Central;Gobierno Central;E07.37.02.01.01.00.00.00.00.M.CRC                                     ;Mensual
20236;20141;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.37.02.01.02.00.00.00.00.M.CRC                                     ;Mensual
20651;20141;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.37.02.01.03.00.00.00.00.M.CRC                                     ;Mensual
20457;20518;               Otros Pasivos;Otros Pasivos;E07.37.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20683;20518;               Valores;Valores;E07.37.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20205;20683;                    Gobierno Central;Gobierno Central;E07.37.02.02.01.00.00.00.00.M.CRC                                     ;Mensual
20237;20683;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.37.02.02.02.00.00.00.00.M.CRC                                     ;Mensual
20652;20683;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.37.02.02.03.00.00.00.00.M.CRC                                     ;Mensual
20085;;     Crédito al sector público no financiero del banco central;Crédito al sector público no financiero del banco central;E07.36.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
19952;20085;          Activos;Activos;E07.36.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20404;19952;               Otros Activos;Otros Activos;E07.36.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20551;19952;               Préstamos;Préstamos;E07.36.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
19864;20551;                    Gobierno Central;Gobierno Central;E07.36.01.02.01.00.00.00.00.M.CRC                                     ;Mensual
20231;20551;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.36.01.02.02.00.00.00.00.M.CRC                                     ;Mensual
20646;20551;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.36.01.02.03.00.00.00.00.M.CRC                                     ;Mensual
20694;19952;               Valores Distintos de Acciones;Valores Distintos de Acciones;E07.36.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20199;20694;                    Gobierno Central;Gobierno Central;E07.36.01.01.01.00.00.00.00.M.CRC                                     ;Mensual
20230;20694;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.36.01.01.02.00.00.00.00.M.CRC                                     ;Mensual
20645;20694;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.36.01.01.03.00.00.00.00.M.CRC                                     ;Mensual
20086;20085;          Crédito neto;Crédito neto;E07.36.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
20517;20085;          Pasivos;Pasivos;E07.36.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20140;20517;               Depósitos Transferibles y Otros;Depósitos Transferibles y Otros;E07.36.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20200;20140;                    Gobierno Central;Gobierno Central;E07.36.02.01.01.00.00.00.00.M.CRC                                     ;Mensual
20232;20140;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.36.02.01.02.00.00.00.00.M.CRC                                     ;Mensual
20647;20140;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.36.02.01.03.00.00.00.00.M.CRC                                     ;Mensual
20456;20517;               Otros Pasivos;Otros Pasivos;E07.36.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20682;20517;               Valores;Valores;E07.36.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20201;20682;                    Gobierno Central;Gobierno Central;E07.36.02.02.01.00.00.00.00.M.CRC                                     ;Mensual
20233;20682;                    Gobiernos Estatales y Locales;Gobiernos Estatales y Locales;E07.36.02.02.02.00.00.00.00.M.CRC                                     ;Mensual
20648;20682;                    Sociedades Públicas no Financieras;Sociedades Públicas no Financieras;E07.36.02.02.03.00.00.00.00.M.CRC                                     ;Mensual
20148;;     Encaje bancario requerido y efectivo por monedas (bancos com;Encaje bancario requerido y efectivo por monedas (bancos comerciales);E07.33.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
20301;20148;          ME;ME;E07.33.02.00.00.00.00.00.00.M.USD                                     ;Mensual
20150;20301;               Encaje efectivo;Encaje efectivo;E07.33.02.03.00.00.00.00.00.M.USD                                     ;Mensual
19879;20150;                    Absoluto;Absoluto;E07.33.02.03.01.00.00.00.00.M.USD                                     ;Mensual
20659;20150;                    Tasa;Tasa;E07.33.02.03.02.00.00.00.00.M.USD                                     ;Mensual
20152;20301;               Encaje excedente/faltante;Encaje excedente/faltante;E07.33.02.04.00.00.00.00.00.M.USD                                     ;Mensual
19880;20152;                    Absoluto;Absoluto;E07.33.02.04.01.00.00.00.00.M.USD                                     ;Mensual
20660;20152;                    Tasa;Tasa;E07.33.02.04.02.00.00.00.00.M.USD                                     ;Mensual
20154;20301;               Encaje requerido;Encaje requerido;E07.33.02.02.00.00.00.00.00.M.USD                                     ;Mensual
19878;20154;                    Absoluto;Absoluto;E07.33.02.02.01.00.00.00.00.M.USD                                     ;Mensual
20658;20154;                    Tasa;Tasa;E07.33.02.02.02.00.00.00.00.M.USD                                     ;Mensual
20332;20301;               Obligaciones sujetas a encaje;Obligaciones sujetas a encaje;E07.33.02.01.00.00.00.00.00.M.USD                                     ;Mensual
20311;20148;          MN;MN;E07.33.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20149;20311;               Encaje efectivo;Encaje efectivo;E07.33.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
19876;20149;                    Absoluto;Absoluto;E07.33.01.03.01.00.00.00.00.M.CRC                                     ;Mensual
20656;20149;                    Tasa;Tasa;E07.33.01.03.02.00.00.00.00.M.CRC                                     ;Mensual
20151;20311;               Encaje excedente/faltante;Encaje excedente/faltante;E07.33.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
19877;20151;                    Absoluto;Absoluto;E07.33.01.04.01.00.00.00.00.M.CRC                                     ;Mensual
20657;20151;                    Tasa;Tasa;E07.33.01.04.02.00.00.00.00.M.CRC                                     ;Mensual
20153;20311;               Encaje requerido;Encaje requerido;E07.33.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
19875;20153;                    Absoluto;Absoluto;E07.33.01.02.01.00.00.00.00.M.CRC                                     ;Mensual
20655;20153;                    Tasa;Tasa;E07.33.01.02.02.00.00.00.00.M.CRC                                     ;Mensual
20331;20311;               Obligaciones sujetas a encaje;Obligaciones sujetas a encaje;E07.33.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20292;;     Liquidez total;Liquidez total;E07.32.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
20142;20292;          Depósitos y valores a largo plazo;Depósitos y valores a largo plazo;E07.32.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
20103;20142;               Depósitos a largo plazo;Depósitos a largo plazo;E07.32.03.01.00.00.00.00.00.M.CRC                                     ;Mensual
20685;20142;               Valores a largo plazo emitidos por:;Valores a largo plazo emitidos por:;E07.32.03.02.00.00.00.00.00.M.CRC                                     ;Mensual
20010;20685;                    Banco central;Banco central;E07.32.03.02.01.00.00.00.00.M.CRC                                     ;Mensual
20356;20685;                    Otras sociedades de depósito;Otras sociedades de depósito;E07.32.03.02.02.00.00.00.00.M.CRC                                     ;Mensual
20500;20685;                    Otros sectores;Otros sectores;E07.32.03.02.03.00.00.00.00.M.CRC                                     ;Mensual
20295;20292;          M3;M3;E07.32.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
20138;20295;               Depósitos transferibles (ME) en poder de:;Depósitos transferibles (ME) en poder de:;E07.32.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
20227;20138;                    Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.02.02.00.00.00.00.M.CRC                                     ;Mensual
20253;20138;                    Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.02.05.00.00.00.00.M.CRC                                     ;Mensual
20373;20138;                    Otras sociedades financieras;Otras sociedades financieras;E07.32.01.02.01.00.00.00.00.M.CRC                                     ;Mensual
20393;20138;                    Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.02.04.00.00.00.00.M.CRC                                     ;Mensual
20641;20138;                    Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.02.03.00.00.00.00.M.CRC                                     ;Mensual
20294;20295;               M2;M2;E07.32.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20293;20294;                    M1;M1;E07.32.01.01.01.00.00.00.00.M.CRC                                     ;Mensual
20071;20293;                         Billetes y monedas en poder del público;Billetes y monedas en poder del público;E07.32.01.01.01.01.00.00.00.M.CRC                                     ;Mensual
20139;20293;                         Depósitos transferibles (MN) en poder de :;Depósitos transferibles (MN) en poder de :;E07.32.01.01.01.02.00.00.00.M.CRC                                     ;Mensual
19865;20139;                              Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.01.01.02.05.00.00.M.CRC                                     ;Mensual
19866;20139;                              Otras sociedades financieras;Otras sociedades financieras;E07.32.01.01.01.02.01.00.00.M.CRC                                     ;Mensual
20224;20139;                              Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.01.01.02.02.00.00.M.CRC                                     ;Mensual
20390;20139;                              Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.01.01.02.04.00.00.M.CRC                                     ;Mensual
20638;20139;                              Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.01.01.02.03.00.00.M.CRC                                     ;Mensual
20443;20294;                    Otros depósitos en poder de :;Otros depósitos en poder de :;E07.32.01.01.02.00.00.00.00.M.CRC                                     ;Mensual
20225;20443;                         Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.01.02.02.00.00.00.M.CRC                                     ;Mensual
20251;20443;                         Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.01.02.05.00.00.00.M.CRC                                     ;Mensual
20371;20443;                         Otras sociedades financieras;Otras sociedades financieras;E07.32.01.01.02.01.00.00.00.M.CRC                                     ;Mensual
20391;20443;                         Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.01.02.04.00.00.00.M.CRC                                     ;Mensual
20639;20443;                         Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.01.02.03.00.00.00.M.CRC                                     ;Mensual
20754;20294;                    Valores distintos de acciones MN (incluidos los del banco ce;Valores distintos de acciones MN (incluidos los del banco central) en poder de :;E07.32.01.01.03.00.00.00.00.M.CRC                                     ;Mensual
20226;20754;                         Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.01.03.02.00.00.00.M.CRC                                     ;Mensual
20252;20754;                         Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.01.03.05.00.00.00.M.CRC                                     ;Mensual
20372;20754;                         Otras sociedades financieras;Otras sociedades financieras;E07.32.01.01.03.01.00.00.00.M.CRC                                     ;Mensual
20392;20754;                         Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.01.03.04.00.00.00.M.CRC                                     ;Mensual
20640;20754;                         Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.01.03.03.00.00.00.M.CRC                                     ;Mensual
20442;20295;               Otros depósitos (ME) en poder de :;Otros depósitos (ME) en poder de :;E07.32.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
20228;20442;                    Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.03.02.00.00.00.00.M.CRC                                     ;Mensual
20254;20442;                    Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.03.05.00.00.00.00.M.CRC                                     ;Mensual
20374;20442;                    Otras sociedades financieras;Otras sociedades financieras;E07.32.01.03.01.00.00.00.00.M.CRC                                     ;Mensual
20394;20442;                    Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.03.04.00.00.00.00.M.CRC                                     ;Mensual
20642;20442;                    Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.03.03.00.00.00.00.M.CRC                                     ;Mensual
20696;20295;               Valores distintos de acciones (ME) en poder de:;Valores distintos de acciones (ME) en poder de:;E07.32.01.04.00.00.00.00.00.M.CRC                                     ;Mensual
19867;20696;                    Otras sociedades no financieras;Otras sociedades no financieras;E07.32.01.04.04.00.00.00.00.M.CRC                                     ;Mensual
20229;20696;                    Gobiernos estatales y locales;Gobiernos estatales y locales;E07.32.01.04.02.00.00.00.00.M.CRC                                     ;Mensual
20255;20696;                    Hogares y ISFLSH;Hogares y ISFLSH;E07.32.01.04.05.00.00.00.00.M.CRC                                     ;Mensual
20375;20696;                    Otras sociedades financieras;Otras sociedades financieras;E07.32.01.04.01.00.00.00.00.M.CRC                                     ;Mensual
20643;20696;                    Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.01.04.03.00.00.00.00.M.CRC                                     ;Mensual
20684;20292;          Valores a corto plazo emitidos por otros sectores;Valores a corto plazo emitidos por otros sectores;E07.32.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20198;20684;               Gobierno central;Gobierno central;E07.32.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20238;20684;               Gobiernos locales;Gobiernos locales;E07.32.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20376;20684;               Otras sociedades financieras;Otras sociedades financieras;E07.32.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20395;20684;               Otras sociedades no financieras;Otras sociedades no financieras;E07.32.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20644;20684;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.32.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
25583;20292;          M3;M3;E07.32.04.00.00.00.00.00.00.M.CRC                                     ;Mensual
25584;25583;               M2;M2;E07.32.04.01.00.00.00.00.00.M.CRC                                     ;Mensual
25585;25584;                    M1;M1;E07.32.04.01.01.00.00.00.00.M.CRC                                     ;Mensual
25678;20292;          M3;M3;E07.32.05.00.00.00.00.00.00.M.CRC                                     ;Mensual
25679;25678;               M2;M2;E07.32.05.01.00.00.00.00.00.M.CRC                                     ;Mensual
25680;25679;                    M1;M1;E07.32.05.01.01.00.00.00.00.M.CRC                                     ;Mensual
20504;;     Panorama de bancos (excluidos offshore);Panorama de bancos (excluidos offshore);E07.17.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
19958;20504;          Activos externos netos;Activos externos netos;E07.17.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
